CustomerID,Email,updated_phone_number,City,State,Country,Gender,Age,Updated_Joined_date,updated_last_purchase_date,TotalSpent,LoyaltyPoints,PurchaseFrequency,CustomerSegment,PreferredPaymentMethod,MaritalStatus,Updated_Account_creation_date,AccountStatus,LastUpdated,Updated_Referrer_Id,FeedbackRating,Domain of mail,country_code
Cust_1,robert.grant@gmail.com,+1-738-844-6793-40856,Jenkinsburgh,Texas,Morocco,Female,64,11-02-2024,23-10-2024,762.36,250,2,Gold,Credit Card,Single,23-10-2024,Active,21-02-2024,Cust_5439,2.9,gmail.com,+1
Cust_2,alyssa.rodriguez@gmail.com,001-463-408-4110,Patrickbury,Oklahoma,Vanuatu,Female,44,23-04-2024,23-10-2024,2420.65,250,6,Other,Credit Card,Other,07-10-2024,Active,05-03-2024,Cust_6900,1.4,gmail.com,001
Cust_3,cody.huff@gmail.com,001-735-575-1807-9070,South Kimberlyton,Tennessee,El Salvador,Female,44,09-04-2024,09-07-2024,2329.57,250,6,Platinum,Cash,Married,19-07-2024,Active,10-10-2024,Cust_7180,1.9,gmail.com,001
Cust_4,daniel.weber@gmail.com,488-878-1214-904,Lopezview,Indiana,Northern Mariana Islands,Female,44,11-04-2024,31-07-2024,4726.23,369,6,Platinum,Credit Card,Divorced,02-07-2024,Active,02-06-2024,Cust_4,2.9,gmail.com,488
Cust_5,nicole.kennedy@gmail.com,280-651-8579,New Emilybury,Wisconsin,British Virgin Islands,Male,39,23-10-2024,23-10-2024,7938.49,250,6,Silver,Debit Card,Divorced,11-05-2024,Active,29-02-2024,Cust_7421,4.1,gmail.com,280
Cust_6,joseph.robinson@gmail.com,359-921-8444,West Michellefort,New Mexico,Central African Republic,Female,52,23-10-2024,23-10-2024,6003.36,279,6,Gold,PayPal,Single,23-10-2024,Active,31-05-2024,Cust_6,4.7,gmail.com,359
Cust_7,jennifer.butler@yahoo.com,477-836-6698,Ramirezview,Pennsylvania,French Polynesia,Female,30,23-10-2024,23-10-2024,5387.02,250,6,Gold,Cash,Married,30-04-2024,Active,21-08-2024,Cust_7,2.9,yahoo.com,477
Cust_8,charles.nelson@gmail.com,001-519-674-9319-622,Petersmouth,Wyoming,Montserrat,Female,64,07-08-2024,23-10-2024,2720.93,192,5,Gold,Debit Card,Single,20-01-2024,Active,29-01-2024,Cust_8,2.9,gmail.com,001
Cust_9,amy.baker@gmail.com,001-941-791-8805-39623,Perezborough,Kansas,Slovenia,Male,58,23-10-2024,23-10-2024,1156.94,433,10,Bronze,Credit Card,Married,09-09-2024,Inactive,29-07-2024,Cust_9,2.9,gmail.com,001
Cust_10,alexander.james@gmail.com,001-738-614-8513,Alexanderborough,Arizona,Bhutan,Male,34,13-10-2024,23-10-2024,4990.28,222,6,Platinum,Credit Card,Other,28-07-2024,Inactive,07-09-2024,Cust_2194,2.2,gmail.com,001
Cust_11,shane.snyder@yahoo.com,709-500-4382-79207,Smithburgh,Colorado,Brazil,Female,62,14-07-2024,23-10-2024,7402.54,453,6,Platinum,PayPal,Married,23-10-2024,Active,26-03-2024,Cust_11,1,yahoo.com,709
Cust_12,aaron.smith@gmail.com,314-634-4908,Port Michael,Tennessee,Armenia,Female,37,23-10-2024,27-06-2024,8250.04,250,6,Bronze,Credit Card,Other,09-06-2024,Active,08-09-2024,Cust_8518,4.7,gmail.com,314
Cust_13,christian.johnson@gmail.com,259-511-8882,Stephensonport,Kansas,French Guiana,Other,44,23-10-2024,23-10-2024,6437.89,250,8,Gold,PayPal,Other,04-09-2024,Active,26-05-2024,Cust_13,3.6,gmail.com,259
Cust_14,lindsey.landry@gmail.com,001-506-314-4349,South Kathryn,Nevada,Saint Martin,Other,37,23-10-2024,23-10-2024,4516.81,3,6,Gold,Debit Card,Married,12-05-2024,Active,28-05-2024,Cust_7101,2.9,gmail.com,001
Cust_15,mark.le@gmail.com,744-834-5908,Mirandaland,West Virginia,Qatar,Male,44,15-06-2024,02-02-2024,6579.71,267,12,Gold,Cash,Divorced,03-04-2024,Active,08-02-2024,Cust_15,3.2,gmail.com,744
Cust_16,heather.bush@outlook.com,744-998-0626,Deniseland,Kansas,Tuvalu,Male,44,23-10-2024,05-02-2024,5585.33,250,6,Bronze,PayPal,Divorced,25-01-2024,Inactive,20-08-2024,Cust_8128,4.2,outlook.com,744
Cust_17,jeremy.ferguson@outlook.com,001-286-323-0136-133,Port Michellefort,Hawaii,Korea,Female,45,23-10-2024,13-05-2024,4373.66,468,6,Gold,PayPal,Other,10-09-2024,Inactive,07-02-2024,Cust_7045,2.9,outlook.com,001
Cust_18,howard.bryan@gmail.com,+1-522-650-1733-3513,East Kimberly,Tennessee,Madagascar,Male,44,23-10-2024,06-10-2024,6093.27,276,6,Gold,PayPal,Married,23-10-2024,Inactive,26-06-2024,Cust_3205,1.1,gmail.com,+1
Cust_19,michael.baker@outlook.com,550-969-4523,South Jason,Illinois,Central African Republic,Other,44,23-10-2024,08-10-2024,7645.87,89,6,Gold,PayPal,Other,04-04-2024,Inactive,30-01-2024,Cust_828,2.9,outlook.com,550
Cust_20,joshua.robinson@outlook.com,812-973-6755,Clarkbury,Mississippi,British Virgin Islands,Female,46,23-10-2024,23-03-2024,8821.95,250,6,Platinum,PayPal,Other,23-10-2024,Inactive,04-09-2024,Cust_2227,2.9,outlook.com,812
Cust_21,eric.martinez@gmail.com,+1-232-307-5832-368,Cunninghambury,Iowa,Guinea,Male,51,16-05-2024,12-10-2024,2462.03,140,6,Platinum,Debit Card,Divorced,23-10-2024,Active,11-03-2024,Cust_21,1.3,gmail.com,+1
Cust_22,richard.bryan@yahoo.com,481-431-7063-28977,Jasonbury,Michigan,Congo,Other,63,25-03-2024,23-10-2024,5170.09,250,5,Bronze,Debit Card,Married,23-10-2024,Inactive,17-05-2024,Cust_22,4.9,yahoo.com,481
Cust_23,robert.white@yahoo.com,+1-733-896-1707-738,Brandyburgh,Massachusetts,Jamaica,Male,22,23-10-2024,07-04-2024,8406.04,317,9,Bronze,Debit Card,Married,23-10-2024,Active,15-06-2024,Cust_23,4.8,yahoo.com,+1
Cust_24,kevin.patel@gmail.com,+1-848-469-3715-01926,Jamesstad,Connecticut,Angola,Female,26,21-05-2024,23-10-2024,3249.78,250,6,Bronze,Debit Card,Married,23-10-2024,Active,08-10-2024,Cust_24,2.9,gmail.com,+1
Cust_25,jon.johnson@yahoo.com,001-396-447-0572-68004,West Jesus,Washington,Aruba,Other,25,23-10-2024,01-03-2024,8025.4,298,10,Silver,Cash,Single,07-02-2024,Inactive,18-09-2024,Cust_25,2.9,yahoo.com,001
