TransactionID,CustomerID,ProductID,Updated_Transaction_date,Quantity,PricePerUnit,TotalAmount,PaymentMethod,RegionID,Discount,TransactionStatus,ShippingAddress,ShippingCost,RefundedAmount,Updated_shipping_date,Updated_delivery_date,CreatedAt,UpdatedAt,ProductRating,LoyaltyPointsEarned,GiftCardUsed,GiftCardAmount,TransactionType,TransactionType
Txn_1,Cust_5092,Prod_10,03-07-2024,5,57.58,276.63,Debit Card,1,7.53,,"6724 Robert Village Suite 384 Seanville, AR 07904",7.45,49.88,23-10-2024,23-10-2024,01-03-2024,10-04-2024,2.7,50,TRUE,11.31,Online,Online
Txn_2,Cust_745,Prod_33,23-10-2024,5,50.53,276.63,Online Payment,1,5,,"2694 Raven Forges Apt. 043 South Davidstad, AS 22141",7.45,58.83,26-08-2024,15-02-2024,13-04-2024,30-04-2024,3,50,FALSE,13.86,Online,Online
Txn_3,Cust_3006,Prod_5,24-07-2024,3,36.64,109.92,Credit Card,2,11.37,Pending,"85994 Robertson Courts Apt. 834 Andrewville, AS 37688",7.45,49.88,23-10-2024,12-06-2024,19-01-2024,02-08-2024,3,14,FALSE,25.37,Other,
Txn_4,Cust_9483,Prod_19,16-08-2024,5,50.53,276.63,Cash,3,2.03,Pending,"705 Lauren Dam Suite 016 Robertton, IN 45435",11,49.88,23-10-2024,23-10-2024,21-09-2024,17-02-2024,4.4,50,TRUE,25.37,Other,
Txn_5,Cust_5062,Prod_44,23-10-2024,6,99.1,594.6,Online Payment,3,7.53,Failed,"02934 Michele Causeway Port Sarah, IL 21907",1.39,49.88,28-02-2024,23-10-2024,26-07-2024,02-03-2024,4.5,96,FALSE,4.64,Online,Online
Txn_6,Cust_5057,Prod_25,11-05-2024,5,20.38,276.63,Online Payment,2,5,Failed,"27356 Jay Canyon New Jason, NJ 12316",4.9,22.34,07-04-2024,10-04-2024,26-05-2024,11-08-2024,3,50,TRUE,25.37,In-Store,In-Store
Txn_7,Cust_8143,Prod_24,21-03-2024,10,69.37,693.7,Credit Card,1,14.42,Failed,"3343 Christopher Park Apt. 457 Youngborough, MD 61845",7.45,49.88,27-09-2024,26-03-2024,15-08-2024,31-03-2024,4.1,96,FALSE,25.37,Other,
Txn_8,Cust_949,Prod_21,23-10-2024,9,7.27,65.43,Online Payment,2,5,Pending,"66734 Mendez Divide Apt. 094 Stephenton, ME 80050",7.45,49.88,23-10-2024,18-04-2024,03-09-2024,24-07-2024,4.8,22,TRUE,10.69,In-Store,In-Store
Txn_9,Cust_532,Prod_50,01-02-2024,7,95.47,668.29,Credit Card,1,2.9,Pending,"349 Brooke Creek North Amybury, OR 07364",7.45,96.09,22-06-2024,23-10-2024,30-01-2024,02-08-2024,3,27,FALSE,29.8,Other,
Txn_10,Cust_519,Prod_38,23-10-2024,6,50.53,276.63,Cash,2,15.47,Failed,"73333 Lopez Land Martinton, GA 78222",7.45,47.07,23-10-2024,11-07-2024,23-09-2024,31-07-2024,3,50,FALSE,25.37,In-Store,In-Store
Txn_11,Cust_8391,Prod_44,23-10-2024,5,50.53,276.63,Cash,2,7.21,Pending,"52576 Wiggins Parks Apt. 603 Codymouth, MA 71044",14.1,52.76,19-01-2024,23-10-2024,08-04-2024,02-03-2024,3,80,FALSE,25.37,Online,Online
Txn_12,Cust_4355,Prod_43,23-10-2024,5,50.53,276.63,Debit Card,1,7.53,Completed,"9854 Wells Rest Apt. 006 Rodneyhaven, PA 93867",13.84,38.26,23-10-2024,23-10-2024,08-05-2024,19-07-2024,3,99,FALSE,28.05,Online,Online
Txn_13,Cust_3183,Prod_6,23-10-2024,8,56.57,452.56,Credit Card,3,7.53,Completed,"2937 Brianna Curve Anthonyhaven, PR 00707",1.98,49.88,23-10-2024,23-10-2024,15-08-2024,14-01-2024,4.1,50,TRUE,25.37,Other,
Txn_14,Cust_7589,Prod_28,08-08-2024,7,50.53,276.63,Other,1,7.53,Completed,"658 Gregory Pike Suite 572 East Jason, MA 68858",7.45,49.88,27-08-2024,27-01-2024,05-08-2024,18-03-2024,1.7,50,FALSE,9.72,Online,Online
