TransactionID,CustomerID,ProductID,TransactionDate,Quantity,PricePerUnit,TotalAmount,PaymentMethod,RegionID,Discount,TransactionStatus,ShippingAddress,ShippingCost,OrderNotes,RefundedAmount,ShippingDate,DeliveryDate,CreatedAt,UpdatedAt,ProductRating,LoyaltyPointsEarned,GiftCardUsed,GiftCardAmount,TransactionType
Txn_1,Cust_5092,Prod_10,2024-07-03,,57.58,,Debit Card,1.0,,,"6724 Robert Village Suite 384 Seanville, AR 07904",,Rest happy.,,,,2024-03-01,2024-04-10,2.7,,True,11.31,Online
Txn_2,Cust_745,Prod_33,,,,,Online Payment,1.0,-5.0,,"2694 Raven Forges Apt. 043 South Davidstad, AS 22141",,,58.83,2024-08-26,2024-02-15,2024-04-13,2024-04-30,,,False,13.86,Online
Txn_3,Cust_3006,Prod_5,2024-07-24,3.0,36.64,109.92,Credit Card,2.0,11.37,Pending,"85994 Robertson Courts Apt. 834 Andrewville, AS 37688",,Whatever control.,,,2024-06-12,2024-01-19,2024-08-02,,14.0,False,,
Txn_4,Cust_9483,Prod_19,2024-08-16,,,,Cash,3.0,2.03,Pending,"705 Lauren Dam Suite 016 Robertton, IN 45435",11.0,Early set manage.,,,,2024-09-21,2024-02-17,4.4,,True,,
Txn_5,Cust_5062,Prod_44,,6.0,99.1,594.5999999999999,Online Payment,3.0,,Failed,"02934 Michele Causeway Port Sarah, IL 21907",1.39,,,2024-02-28,,2024-07-26,2024-03-02,4.5,96.0,False,4.64,Online
Txn_6,Cust_5057,Prod_25,2024-05-11,,20.38,,Online Payment,2.0,-5.0,Failed,"27356 Jay Canyon New Jason, NJ 12316",4.9,,22.34,2024-04-07,2024-04-10,2024-05-26,2024-08-11,,,True,,In-Store
Txn_7,Cust_8143,Prod_24,2024-03-21,10.0,69.37,693.7,Credit Card,1.0,14.42,Failed,"3343 Christopher Park Apt. 457 Youngborough, MD 61845",,Significant hour.,,2024-09-27,2024-03-26,2024-08-15,2024-03-31,4.1,96.0,False,,
Txn_8,Cust_949,Prod_21,,9.0,7.27,65.42999999999999,Online Payment,,-5.0,Pending,"66734 Mendez Divide Apt. 094 Stephenton, ME 80050",,,,,2024-04-18,2024-09-03,2024-07-24,4.8,22.0,True,10.69,In-Store
Txn_9,Cust_532,Prod_50,2024-02-01,7.0,95.47,668.29,Credit Card,1.0,2.9,Pending,"349 Brooke Creek North Amybury, OR 07364",,,96.09,2024-06-22,,2024-01-30,2024-08-02,,27.0,False,29.8,
Txn_10,Cust_519,Prod_38,,6.0,,,Cash,2.0,15.47,Failed,"73333 Lopez Land Martinton, GA 78222",,,47.07,,2024-07-11,2024-09-23,2024-07-31,,,False,,In-Store
Txn_11,Cust_8391,Prod_44,,,,,Cash,2.0,7.21,Pending,"52576 Wiggins Parks Apt. 603 Codymouth, MA 71044",14.1,,52.76,2024-01-19,,2024-04-08,2024-03-02,,80.0,False,,Online
Txn_12,Cust_4355,Prod_43,,,,,Debit Card,1.0,,Completed,"9854 Wells Rest Apt. 006 Rodneyhaven, PA 93867",13.84,Test example day.,38.26,,,2024-05-08,2024-07-19,,99.0,False,28.05,Online
Txn_13,Cust_3183,Prod_6,,8.0,56.57,452.56,Credit Card,3.0,,Completed,"2937 Brianna Curve Anthonyhaven, PR 00707",1.98,Strong word series.,,,,2024-08-15,2024-01-14,4.1,,True,,
Txn_14,Cust_7589,Prod_28,2024-08-08,7.0,,,,1.0,,Completed,"658 Gregory Pike Suite 572 East Jason, MA 68858",,Find discover.,,2024-08-27,2024-01-27,2024-08-05,2024-03-18,1.7,,False,9.72,Online
Txn_15,Cust_3565,Prod_31,2024-08-05,,96.76,,Cash,2.0,-5.0,,"1906 Sophia Stream Suite 795 Brandymouth, AR 28948",0.3,Property heavy.,,,2024-04-30,2024-07-12,2024-08-19,1.4,,True,17.32,In-Store
