CustomerID,FirstName,LastName,Email,Phone,Address,City,State,Country,ZipCode,Gender,Age,JoinDate,LastPurchaseDate,TotalSpent,LoyaltyPoints,PurchaseFrequency,CustomerSegment,PreferredPaymentMethod,MaritalStatus,Education,Occupation,Hobbies,AccountCreationDate,AccountStatus,LastUpdated,Notes,ReferrerID,PromotionalEmails,FeedbackRating
Cust_1,Robert,Huynh,robert.grant@gmail.com,+1-738-844-6793x40856,"0542 Yoder Terrace North Tiffanyshire, GU 80448",Jenkinsburgh,Texas,Morocco,,Female,64.0,2024-02-11,,762.36,,2.0,Gold,Credit Card,Single,,Other,Reading,,,2024-02-21,,Cust_5439,True,
Cust_2,Betty,Holmes,alyssa.rodriguez@None,001-463-408-4110,"408 Benson Ranch Brennanshire, GU 66288",Patrickbury,Oklahoma,Vanuatu,78094,Female,,2024-04-23,,2420.65,,,,Credit Card,,Bachelor,,Reading,2024-10-07,Active,2024-03-05,,Cust_6900,False,1.4
Cust_3,Henry,Lee,cody.huff@gmail.com,001-735-575-1807x9070,"4785 Richard Squares Apt. 926 Anneport, NH 01175",South Kimberlyton,Tennessee,El Salvador,,Female,,2024-04-09,2024-07-09,2329.57,,,Platinum,,Married,Bachelor,,Reading,2024-07-19,,2024-10-10,,Cust_7180,True,1.9
Cust_4,Ashley,Mason,daniel.weber@None,488.878.1214x904,"703 Bray Mills Jenkinsstad, ME 91047",Lopezview,Indiana,Northern Mariana Islands,,Female,,2024-04-11,2024-07-31,4726.23,369.0,,Platinum,Credit Card,Divorced,High School,Doctor,,2024-07-02,Active,2024-06-02,,,False,
Cust_5,Joshua,Jordan,nicole.kennedy@gmail.com,2806518579,"472 James Summit Suite 131 Kevinfurt, NJ 85228",New Emilybury,Wisconsin,British Virgin Islands,67069,Male,39.0,,,7938.49,,,Silver,Debit Card,Divorced,High School,Teacher,,2024-05-11,Active,2024-02-29,Practice federal.,Cust_7421,False,4.1
Cust_6,Jonathan,Cox,joseph.robinson@None,359-921-8444,"75213 Martinez Ford Suite 218 Lake Kristine, NM 86645",West Michellefort,New Mexico,Central African Republic,83551,Female,52.0,,,6003.36,279.0,,Gold,PayPal,Single,Bachelor,Doctor,Music,,Active,2024-05-31,,,True,4.7
Cust_7,Beth,Jones,jennifer.butler@yahoo.com,(477)836-6698,"459 Melinda Hill North Megan, FM 12332",Ramirezview,Pennsylvania,French Polynesia,,Female,30.0,,,5387.02,,,Gold,,Married,Master,Engineer,Sports,2024-04-30,,2024-08-21,,,True,
Cust_8,Carolyn,Graham,charles.nelson@gmail.com,001-519-674-9319x622,"838 Allen Shores Apt. 344 Lake Amyton, MA 38992",Petersmouth,Wyoming,Montserrat,,Female,64.0,2024-08-07,,2720.93,192.0,5.0,Gold,Debit Card,Single,Bachelor,Doctor,Sports,2024-01-20,,2024-01-29,,,True,
Cust_9,Robert,Delacruz,amy.baker@None,001-941-791-8805x39623,"96030 Harper Hills Suite 537 Morganborough, RI 65455",Perezborough,Kansas,Slovenia,,Male,58.0,,,1156.94,433.0,10.0,Bronze,Credit Card,Married,Bachelor,Doctor,Music,2024-09-09,Inactive,2024-07-29,Every race serve.,,True,
Cust_10,Margaret,Patel,alexander.james@gmail.com,001-738-614-8513,"423 Yvonne Run Apt. 979 Terrimouth, MD 54200",Alexanderborough,Arizona,Bhutan,,Male,34.0,2024-10-13,,4990.28,222.0,,Platinum,Credit Card,,High School,Teacher,,2024-07-28,Inactive,2024-09-07,Something must.,Cust_2194,False,2.2
Cust_11,Cassandra,Allen,shane.snyder@yahoo.com,(709)500-4382x79207,"9053 Joseph Way Suite 383 West Angela, CT 83673",Smithburgh,Colorado,Brazil,,Female,62.0,2024-07-14,,7402.54,453.0,,Platinum,PayPal,Married,High School,Engineer,Reading,,,2024-03-26,,,False,1.0
Cust_12,Stephanie,Jackson,aaron.smith@None,3146344908,"56575 Farley Grove Suite 963 South Susanchester, WV 34632",Port Michael,Tennessee,Armenia,,Female,37.0,,2024-06-27,8250.04,,,Bronze,Credit Card,,Master,,,2024-06-09,Active,2024-09-08,Soon language.,Cust_8518,True,4.7
